cell_id,avg_charge_time_2_6,c1,c2,charge_time_min,dq_kurt,dq_mean,dq_min,dq_skew,dq_var,fade_intercept_2_h,fade_intercept_last10,fade_slope_2_h,fade_slope_last10,ir_cycle2,ir_diff_h_2,ir_min_2_h,q1_pct,qd_cycle2,qd_max_minus_2,rate_w1,rate_w2,rate_w3,rate_w4,temp_integral_2_h
MATR_b1c0,27.324188000000017,3.6,3.6,13.333333333333334,0.3192648220891164,-2.5533647089831293,-2.0580671302265037,-0.1396796982947606,-5.051960636597624,1.0916552283784786,1.070635438181815,-0.000215815886209,5.385090909094139e-05,0.016724309,-7.439600000000088e-05,0.016443744,80.0,1.0719005,0.4671539,3.6,3.6,3.6,3.6,186640.71239057087
MATR_b1c2,27.891250666666668,3.6,3.6,13.333333333333334,0.2615901155657595,-2.383423139675014,-1.9930784501498,-0.3609961695736849,-4.952357413092793,1.0850818916334777,1.0896998303030203,6.667385281376172e-06,-4.802848484838423e-05,0.016831938,2.6605999999998464e-05,0.0,80.0,1.0813154,0.0067380999999999,3.6,3.6,3.6,3.6,180955.06491555643
MATR_b1c4,26.374633999999993,4.0,4.0,12.0,0.214362818566946,-2.202880807686721,-1.8389563737681585,-0.4572417392893795,-4.604211339449453,1.0820642985837974,1.0853725915151464,1.6106920222622716e-05,-2.7882424242371212e-05,0.016740341,1.0919000000001594e-05,0.0,80.0,1.0790124,0.0053041999999998,4.0,4.0,4.0,4.0,176991.59549089026
MATR_b1c6,24.374854666666664,4.8,4.8,10.000000000000002,0.2527330366672471,-1.7914108899321262,-1.4167114489520711,-0.4053571627042219,-3.7708650414863354,1.081404502357865,1.085490402424239,-8.999471861482043e-06,-6.296787878784455e-05,0.016977131,-0.000309262,0.0,80.0,1.0772603,0.0048786999999999,4.8,4.8,4.8,4.8,175068.41790951142
MATR_b1c9,25.90600533333336,5.4,3.6,11.11111111111111,0.2538420872892625,-1.9135531936311936,-1.530464695849378,-0.3380656869045754,-3.9784551956046417,1.086969027982272,1.088669384242418,1.5257938157071947e-05,-1.0258787878725908e-05,0.01692898,2.4271999999998795e-05,0.016611163,40.0,1.0836858,0.0052640999999999,5.4,5.4,3.6,3.6,167778.90348082752
MATR_b1c14,24.595883999999984,5.4,3.0,10.666666666666666,0.2307306662936986,-1.9232701494685964,-1.5496735119070746,-0.5797866219675174,-4.048537903142698,1.074977351528757,1.0782796066666618,2.3101841682118348e-05,-2.1086666666614475e-05,0.017082188,-3.60619999999999e-05,0.016649306,60.0,1.0721085,0.0057352999999999,5.4,5.4,5.4,3.0,183349.3885568105
MATR_b1c16,24.66131333333331,5.4,3.6,10.0,0.245872381896112,-1.9012254811128888,-1.5604924439306898,-1.0889114270238809,-4.101215616035593,1.0855138209346529,1.089369999393936,1.974637105750548e-05,-3.102303030299114e-05,0.016791083,1.3582000000001563e-05,0.0,60.0,1.0823848,0.0062070999999999,5.4,5.4,5.4,3.6,175604.79558835266
MATR_b1c18,29.62454999999983,5.4,3.0,9.777777777777777,0.2086602867934033,-1.6950277658464483,-1.3641357071701177,-1.1855581610868664,-3.66363731435168,1.1027678467746855,1.0727004521212071,-0.0003204380136054,-8.327939393934371e-05,0.019886132,-0.0039917689999999,0.015845969,70.0,1.0667928,1.8172917,5.4,5.4,5.4,3.8571428571428577,4962459.301724775
MATR_b1c20,22.919642999999997,5.4,5.4,8.88888888888889,0.2810268745628753,-1.4806529597521016,-1.2050627939896013,-0.5911507903044463,-3.3632592882883023,1.0770364201678002,1.084469372121211,-0.0001433780940012,-0.0002342793939393,0.015663207,-0.0004956829999999,0.0,80.0,1.0737344,0.0019898,5.4,5.4,5.4,5.4,170828.76003333952
MATR_b1c23,25.828451000000012,6.0,3.6,11.333333333333332,0.2441799157670231,-1.8706817618089329,-1.5260280148758238,-0.9100636434467722,-4.029326740739936,1.0829640371069882,1.0838814866666644,-9.392765615339448e-06,-2.212666666664267e-05,0.016908232,1.5445000000002818e-05,0.016472535,30.0,1.0805521,0.0032342999999999,6.0,4.5,3.6,3.6,165149.98791585924
